dataset_id,source,study_id,workbook_accession,csv_accession,in_workbook,in_new_csv,version_changed,title,review_status,source_url
phs000103.v1.p1,dbgap,phs000103,phs000103.v1.p1,phs000103.v1.p1,True,True,False,GENEVA Study of Preterm Delivery (DNBC/Iowa),not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000103.v1.p1
phs000353.v1.p1,dbgap,phs000353,phs000353.v1.p1,phs000353.v1.p1,True,True,False,GENEVA Study of Preterm Delivery (African-American),not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000353.v1.p1
phs000735.v1.p1,dbgap,phs000735,phs000735.v1.p1,phs000735.v1.p1,True,True,False,The Placenta Harbors a Unique Microbiome,not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000735.v1.p1
phs000791.v2.p1,dbgap,phs000791,phs000791.v2.p1,,True,False,False,"Integrated Epigenetic Maps of Human Embryonic, Extraembryonic and Adult    Cells",not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000791.v2.p1
phs000836.v7.p1,dbgap,phs000836,phs000836.v7.p1,phs000836.v7.p1,True,True,False,Single Cell Analysis Program - Transcriptome (SCAP-T) (USC),not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000836.v7.p1
phs000846.v1.p1,dbgap,phs000846,phs000846.v1.p1,phs000846.v1.p1,True,True,False,Whole Genome Bisulfite Sequencing of ccf DNA and its Cellular    Contributors,not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000846.v1.p1
phs000885.v1.p1,dbgap,phs000885,phs000885.v1.p1,phs000885.v1.p1,True,True,False,Strong Activation of Retroviral LTRs in HCC,not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000885.v1.p1
phs001178.v1.p1,dbgap,phs001178,phs001178.v1.p1,phs001178.v1.p1,True,True,False,UCLA/Gabriella Miller Kids First Disorders of Sex Development Study,not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001178.v1.p1
phs001317.v1.p1,dbgap,phs001317,phs001317.v1.p1,phs001317.v1.p1,True,True,False,Long-Term Outcome in Offspring and Mothers of Dexamethasone-Treated    Pregnancies at Risk for Classical Congenital Adrenal Hyperplasia Owing    to 21-Hydroxylase Deficiency,not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001317.v1.p1
phs001320.v1.p1,dbgap,phs001320,phs001320.v1.p1,phs001320.v1.p1,True,True,False,Investigating Human Placentation and Pregnancy Using First Trimester    Chorionic Villi,not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001320.v1.p1
phs001498.v3.p2,dbgap,phs001498,phs001498.v3.p2,phs001498.v3.p2,True,True,False,INSIGHT (Intervention Nurses Start Infants Growing on Healthy    Trajectories) Cohort,not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001498.v3.p2
phs001535.v1.p1,dbgap,phs001535,phs001535.v1.p1,phs001535.v1.p1,True,True,False,Offspring Sex Affects Placental DNA Methylation and Gene Expression in    Diabetics,not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001535.v1.p1
phs001570.v4.p1,dbgap,phs001570,,phs001570.v4.p1,False,True,False,"CALGB 40601: Randomized Phase III Trial of Paclitaxel Combined With    Trastuzumab, Lapatinib, or Both As Neoadjuvant Treatment of    HER2-Positive Primary Breast Cancer",not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001570.v4.p1
phs001693.v1.p1,dbgap,phs001693,phs001693.v1.p1,phs001693.v1.p1,True,True,False,Maternal-Fetal Immune Responses in Preterm Labor and Congenital Anomalies,not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001693.v1.p1
phs001717.v1.p1,dbgap,phs001717,phs001717.v1.p1,phs001717.v1.p1,True,True,False,Genetic Variants Influence on the Placenta Regulatory Landscape,not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001717.v1.p1
phs001782.v2.p1,dbgap,phs001782,phs001782.v2.p1,phs001782.v2.p1,True,True,False,Effect of the Placental Transcriptome on Stunting in a Longitudinal    African Cohort,not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001782.v2.p1
phs001863.v1.p1,dbgap,phs001863,,phs001863.v1.p1,False,True,False,Randomized Phase II 2 x 2 Factorial Trial of the Addition of Carboplatin    +/- Bevacizumab to Neoadjuvant Weekly Paclitaxel Followed by    Dose-Dense AC in Hormone Receptor-Poor/HER2-Negative Resectable Breast    Cancer,not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001863.v1.p1
phs001886.v6.p1,dbgap,phs001886,phs001886.v5.p1,phs001886.v6.p1,True,True,True,Single Cell Analysis of Human Parturition Across Obstetrical Syndromes,not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001886.v6.p1
phs001937.v1.p1,dbgap,phs001937,phs001937.v1.p1,phs001937.v1.p1,True,True,False,DNA Methylomic Profiling of Preeclampsia Across Pregnancy,not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001937.v1.p1
phs002016.v1.p1,dbgap,phs002016,phs002016.v1.p1,phs002016.v1.p1,True,True,False,MicroRNA Biomarkers for Prediction of Preeclampsia,not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002016.v1.p1
phs002075.v1.p1,dbgap,phs002075,phs002075.v1.p1,phs002075.v1.p1,True,True,False,Fetal Chorioamniotic Membranes Show Molecular Changes in Placenta Previa    and Placenta Accreta Spectrum,not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002075.v1.p1
phs002240.v1.p1,dbgap,phs002240,phs002240.v1.p1,phs002240.v1.p1,True,True,False,Characterization of Sex Differences in Human Placentas,not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002240.v1.p1
phs002905.v1.p1,dbgap,phs002905,phs002905.v1.p1,phs002905.v1.p1,True,True,False,"Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Safety, Testing/Transmission, and Outcomes in Pregnancies with    COVID-19 (STOP COVID-19)",not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002905.v1.p1
phs003002.v2.p1,dbgap,phs003002,,phs003002.v2.p1,False,True,False,A Platform Study of Combination Immunotherapy for the Neoadjuvant and    Adjuvant Treatment of Patients with Surgically Resectable    Adenocarcinoma of the Pancreas,not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003002.v2.p1
phs003122.v1.p1,dbgap,phs003122,phs003122.v1.p1,,True,False,False,Human Blastocyst 10X Single Cell RNA Sequencing,not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003122.v1.p1
phs003151.v1.p1,dbgap,phs003151,phs003151.v1.p1,phs003151.v1.p1,True,True,False,Genetics of Glucose Regulation in Gestation and Growth (Gen3G) Cohort -    Placenta Transcriptomics RNA Sequencing,not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003151.v1.p1
phs003182.v1.p1,dbgap,phs003182,phs003182.v1.p1,phs003182.v1.p1,True,True,False,Reference Profiles of ExRNAs in Normal Human Pregnancy,not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003182.v1.p1
phs003619.v1.p1,dbgap,phs003619,phs003619.v1.p1,phs003619.v1.p1,True,True,False,Environmental Influences on Child Health Outcomes (ECHO) - PATHWAYS -    Conditions Affecting Neurocognitive Development and Learning in Early    Childhood (CANDLE),not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003619.v1.p1
phs003620.v1.p1,dbgap,phs003620,phs003620.v1.p1,phs003620.v1.p1,True,True,False,Environmental Influences on Child Health Outcomes (ECHO) - PATHWAYS -    Global Alliance to Prevent Prematurity and Stillbirth (GAPPS),not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003620.v1.p1
phs003971.v1.p1,dbgap,phs003971,phs003971.v1.p1,phs003971.v1.p1,True,True,False,Trio Analysis of Recurrent Pregnancy Loss Integrated Bioinformatics    Genomics Study (TRIOS),not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003971.v1.p1
phs004243.v1.p1,dbgap,phs004243,,phs004243.v1.p1,False,True,False,"NCTN: A Randomized Double-Blinded Phase III Study Comparing Gemcitabine,    Cisplatin, and Bevacizumab to Gemcitabine, Cisplatin, and Placebo in    Patients with Advanced Transitional Cell Carcinoma (CALGB-90601)",not_reviewed,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs004243.v1.p1
