dataset_id,source,px_accession,in_pride_list,source_url
MSV000098596,massive,PXD035768,True,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000098596
MSV000086385,massive,PXD014083,True,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000086385
MSV000098334,massive,PXD010899,True,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000098334
MSV000083000,massive,PXD006291,True,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000083000
MSV000080693,massive,PXD002391,True,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000080693
MSV000083950,massive,PXD000754,True,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000083950
MSV000080264,massive,PXD003298,False,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000080264
MSV000082822,massive,PXD010789,False,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000082822
MSV000084274,massive,PXD015321,False,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000084274
MSV000085301,massive,PXD018618,False,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000085301
MSV000086177,massive,PXD021569,False,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000086177
MSV000087589,massive,PXD026572,False,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000087589
MSV000088805,massive,PXD031744,False,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000088805
MSV000091415,massive,PXD040624,False,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000091415
MSV000093512,massive,PXD047286,False,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000093512
MSV000093683,massive,PXD047909,False,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000093683
MSV000095456,massive,PXD054289,False,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000095456
MSV000095571,massive,PXD054775,False,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000095571
MSV000096320,massive,PXD057583,False,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000096320
MSV000097626,massive,PXD062950,False,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000097626
