GEO Series ID (GSE___),organism_old,organism,common_name,display_name
GSE202816,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE330569,Mus musculus,Mus musculus,Mouse,Mouse (Mus musculus)
GSE297218,Bos taurus,Bos taurus,Cow,Cow (Bos taurus)
GSE298153,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE330442,Mus musculus,Mus musculus,Mouse,Mouse (Mus musculus)
GSE302798,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE330178,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE330176,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE290409,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE285365,Mus musculus,Mus musculus,Mouse,Mouse (Mus musculus)
GSE329173,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE298602,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE244204,taxid:9940,Ovis aries,Sheep,Sheep (Ovis aries)
GSE266290,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE308795,Mus musculus,Mus musculus,Mouse,Mouse (Mus musculus)
GSE307832,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE307761,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE307759,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE263213,Rattus norvegicus,Rattus norvegicus,Rat,Rat (Rattus norvegicus)
GSE263212,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE263211,Rattus norvegicus,Rattus norvegicus,Rat,Rat (Rattus norvegicus)
GSE263209,Rattus norvegicus,Rattus norvegicus,Rat,Rat (Rattus norvegicus)
GSE263207,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE300718,Mus musculus,Mus musculus,Mouse,Mouse (Mus musculus)
GSE300655,Mus musculus,Mus musculus,Mouse,Mouse (Mus musculus)
GSE300654,Mus musculus,Mus musculus,Mouse,Mouse (Mus musculus)
GSE320198,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE326887,Mus musculus,Mus musculus,Mouse,Mouse (Mus musculus)
GSE318865,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE313842,Mus musculus,Mus musculus,Mouse,Mouse (Mus musculus)
GSE289975,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE288405,Mus musculus,Mus musculus,Mouse,Mouse (Mus musculus)
GSE288396,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE316086,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE280265,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE264588,Mus musculus,Mus musculus,Mouse,Mouse (Mus musculus)
GSE303893,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE294616,Mus musculus,Mus musculus,Mouse,Mouse (Mus musculus)
GSE262636,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE262631,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE262630,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE319493,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE315060,Mus musculus,Mus musculus,Mouse,Mouse (Mus musculus)
GSE311812,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE289117,Macaca nemestrina,Macaca nemestrina,Southern pig-tailed macaque,Southern pig-tailed macaque (Macaca nemestrina)
GSE324315,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE324114,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE306469,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE304843,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE304580,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE217721,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE319583,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE290784,Mus musculus,Mus musculus,Mouse,Mouse (Mus musculus)
GSE315332,Bos taurus,Bos taurus,Cow,Cow (Bos taurus)
GSE314723,Bos taurus,Bos taurus,Cow,Cow (Bos taurus)
GSE304388,Mus musculus,Mus musculus,Mouse,Mouse (Mus musculus)
GSE314658,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE316139,Mus musculus,Mus musculus,Mouse,Mouse (Mus musculus)
GSE307289,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE317295,Sus scrofa,Sus scrofa,Wild boar,Wild boar (Sus scrofa)
GSE318446,Homo sapiens,Homo sapiens,Human,Human (Homo sapiens)
GSE316715,Mus musculus,Mus musculus,Mouse,Mouse (Mus musculus)
GSE316715,taxid:10093,Mus pahari,Shrew Mouse,Shrew Mouse (Mus pahari)
