"Org_canonical","lat","long"
"Douglas Mental Health University Institute",45.4425535,-73.5857211
"Naval Medical University",31.3075202,121.5230816
"Cornell University",42.452916,-76.4800635
"University of Missouri-Columbia",38.9364147,-92.329703
"Amsterdam Umc",52.334632,4.8599107
"Lbai Umr1227",NA,NA
"Shanghai Jiao Tong University",31.2008911,121.4283949
"Guangzhou Laboratory",23.0411578,113.361584
"Hangzhou First People s Hospital",30.2572121,120.1620189
"Michigan Medicine",42.3540954,-83.055729
"Anhui Agricultural University",31.8648767,117.2507188
"Fujian Medical University",26.0735723,119.1822803
"Xiamen University",24.4399419,118.0930178
"University of Kansas Medical Center",39.0571097,-94.6095438
"Iowa State University",42.0279608,-93.6447375
"Kyoto University",35.0270467,135.7814382
"Research Institute of Fundamental and Clinical Immunology Rifci",NA,NA
"Tufts Medical Center",42.3496554,-71.0638505
"Sunnybrook Research Institute",NA,NA
"Southern Medical University",23.1899352,113.3296269
"University of Texas Medical Branch",29.3120184,-94.7762733
"University of Tsukuba",36.1070526,140.1006602
"Unm School of Medicine",35.0902152,-106.6182043
"Tohoku University",38.2603546,140.8515893
"Canadian Centre for Computational Genomics C3g",NA,NA
"Yale University",41.2571306,-72.9896696
"Boston Children s Hospital",42.3371715,-71.1056791
"Universidad De Antioquia",6.2679795,-75.5687589
"University of Washington",47.6554303,-122.3001692
"University of Manchester",53.4660226,-2.2330858
"University of Sao Paulo",-23.561048,-46.7252264
"University of Virginia",38.0410576,-78.5055084
"Pomeranian Medical University in Szczecin",53.423058,14.5544014
"Icahn School of Medicine at Mount Sinai",40.789793,-73.9532536
"University of British Columbia",49.2578915,-123.2429755
"Yangzhou University",32.344177,119.3946863
"Inrs",48.8603938,2.3717011
"Blizard Institute",51.5170857,-0.0577259
"University of Pennsylvania",39.9522148,-75.1955729
"University of California San Diego",32.8792438,-117.2311247
"University of Texas at Austin",30.2851494,-97.7339352
"University of Colorado Anschutz Med",NA,NA
"International Peace Maternity and Child Health Hospital",NA,NA
"Xiangyang Central Hospital",32.0598067,112.1459999
"Zunyi Medical University",27.7098965,106.9412934
"Zhejiang University",30.521595,120.7195312
"Jilin University",43.913821,125.2611182
"Linyi People s Hospital",NA,NA
"Weill Cornell Medicine",40.767009,-73.9547002
"National Institutes of Health",39.0000143,-77.1040039
"Anhui Women and Children s Medical Center",NA,NA
"The Affiliated Hospital of Qingdao University",NA,NA
"University of Albany Suny",NA,NA
"Medical University of Vienna",NA,NA
"University of California Los Angeles",34.0708777,-118.4468503
"Nagoya University",35.1533087,136.9677806
"Rutgers New Jersey Medical School",NA,NA
"Fudan University",31.3011748,121.4974703
"Grafton",43.9702453,-71.8742626
"Keio University",35.5538164,139.6414098
"Korea Institute of Science and Technology Information",36.3647718,127.3594915
"KAIST",36.3703054,127.3620118
"Centre for Genomic Regulation",41.3852737,2.1945941
"Baylor College of Medicine",29.7105439,-95.3958079
"Zhengzhou University",34.8214567,113.5297412
"Flinders University",-35.0248752,138.5734181
"University of Debrecen",47.5539501,21.6215676
"Utrecht University",52.0942343,5.1211881
"Hse University",33.976192,71.5112263
"USDA-ARS",42.045432,-93.5758741
"National Institute of Environmental Health Sciences",NA,NA
"The University of Hong Kong",22.2828768,114.1378586
"University of Helsinki",60.2267221,25.01767
"Kumamoto University",32.8164178,130.7270397
"Peking University",40.1750746,116.1593872
"University of Pittsburgh",40.444153,-79.962461
"Gyeongsang National University Changwon Hospital",NA,NA
"University of Illinois Chicago College of Medicine",NA,NA
"Shengjing Hospital of China Medical University",41.7716892,123.4215018
"Uchc",31.6286906,-90.7548382
"Wayne State University School of Medicine",NA,NA
"University of California San Francisco",37.7627257,-122.4582568
"University of Minnesota",44.9863418,-93.1794451
"University of Technology Sydney",-33.8832536,151.2003294
"Mayo Clinic",-26.1505617,27.9197318
"Lumc",52.1666076,4.4770577
"Chinese Academy of Sciences",39.9093367,116.3297146
"Saga University",33.2421927,130.2906509
"Duke University",36.0001557,-78.9442297
"McGill University Health Centre",45.4731036,-73.6031079
"Max Planck Institute of Immunobiology and Epigenetics",NA,NA
"Mount Sinai Hospital",43.6574502,-79.3903211
"University of Iowa",41.6311024,-91.540752
"University of Cambridge",52.1890916,0.1212977
"University of Leeds",53.8065718,-1.5557853
"Massachusetts Institute of Technology",42.3582529,-71.0966272
"Hudson Institute of Medical Research",NA,NA
"Renmin Hospital of Wuhan",30.5377763,114.2938989
"Children s Mercy",33.2857828,-111.7473855
"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences",NA,NA
"University of Oxford",33.6505419,-117.8270531
"Simon Fraser University",49.2767096,-122.917803
"The Third Affiliated Hospital of Guangzhou Medical University",23.1205707,113.2288682
"Nanjing University",32.0565957,118.7740883
"Nanjing Agricultural University",NA,NA
"The First Hospital of Jilin University",NA,NA
"University of Oulu",65.0593277,25.4673577
"Chongqing Medical University",29.5353583,106.5049974
"Shandong University",36.3688546,120.6737612
"Max Delbrück Center for Molecular Medicine",52.5262587,13.3853765
"Aphp",48.8054084,2.3924856
"University of Alberta",53.52682,-113.5244937
"University of Florida",29.6411884,-82.3562296
"Guangxi Academy of Medical Sciences",NA,NA
"University of Western Ontario",43.0054234,-81.274801
"Seattle Children s Research Institute",47.61689,-122.3340287
"National Cancer Institute",45.475,9.231368
"Charles University",50.0888947,14.4162757
"Wuxi Maternity and Child Health Care Hospital",NA,NA
"University of North Carolina at Chapel Hill",35.9050354,-79.0477533
"Wake Forest School of Medicine",36.0905029,-80.2665306
"Cedars-Sinai Medical Center",34.0751604,-118.3810936
"University of Wisconsin-Madison",43.0802745,-89.4309587
"University of Maryland School of Medicine",NA,NA
"Newcastle University",54.9801751,-1.6146802
"Rollins School of Public Health at Emory University",NA,NA
"San Diego State University",32.7761529,-117.0733037
"Nanjing University of Chinese Medicine",32.1030022,118.9388674
"ENCODE DCC",NA,NA
"The University of Tokyo",35.9019845,139.9362283
