Organism,Counts,placenta_type
Aardvark (Orycteropus afer),1,Eutherian mammal
Addax (Addax nasomaculatus),1,Eutherian mammal
Afghan Pika (Ochotona rufescens),1,Eutherian mammal
African Hunting Dog (Lycaon pictus),1,Eutherian mammal
Agile Wallaby (Notamacropus agilis),1,Marsupial
Alpaca (Vicugna pacos),1,Eutherian mammal
Alpine Pika (Ochotona alpina),1,Eutherian mammal
American Beaver (Castor canadensis),1,Eutherian mammal
American Black Bear (Ursus americanus),1,Eutherian mammal
American Marten (Martes americana),1,Eutherian mammal
American Mink (Neogale vison),1,Eutherian mammal
American Pika (Ochotona princeps),1,Eutherian mammal
American Pygmy Shrew (Sorex hoyi),1,Eutherian mammal
American Red Squirrel (Tamiasciurus hudsonicus),1,Eutherian mammal
American Shrew Mole (Neurotrichus gibbsii),1,Eutherian mammal
American Water Shrew (Sorex palustris),1,Eutherian mammal
Armenian Hamster (Nothocricetulus migratorius),1,Eutherian mammal
Asian Small-Clawed Otter (Aonyx cinereus),1,Eutherian mammal
Asiatic Elephant (Elephas maximus),1,Eutherian mammal
Australian Sea Lion (Neophoca cinerea),1,Eutherian mammal
Aye-Aye (Daubentonia madagascariensis),1,Eutherian mammal
Baluchistan Gerbil (Gerbillus nanus),1,Eutherian mammal
Bamboo Lemur (Hapalemur griseus),1,Eutherian mammal
Beluga Whale (Delphinapterus leucas),1,Eutherian mammal
Big Brown Bat (Eptesicus fuscus),1,Eutherian mammal
Black Lemur (Eulemur macaco),1,Eutherian mammal
Black Rat (Rattus rattus),1,Eutherian mammal
Black Rhinoceros (Diceros bicornis),1,Eutherian mammal
Black-Tailed Jackrabbit (Lepus californicus),1,Eutherian mammal
Blue Whale (Balaenoptera musculus),1,Eutherian mammal
Bobcat (Lynx rufus),1,Eutherian mammal
Bolivian Squirrel Monkey (Saimiri boliviensis),1,Eutherian mammal
Bongo (Tragelaphus eurycerus),1,Eutherian mammal
Bornean Orangutan (Pongo pygmaeus),1,Eutherian mammal
Bowhead Whale (Balaena mysticetus),1,Eutherian mammal
Brandt's Bat (Myotis brandtii),1,Eutherian mammal
Brandt's Hedgehog (Paraechinus hypomelas),1,Eutherian mammal
Brandt's Vole (Lasiopodomys brandtii),1,Eutherian mammal
Brazilian Free-Tailed Bat (Tadarida brasiliensis),1,Eutherian mammal
Brazilian Guinea Pig (Cavia aperea),1,Eutherian mammal
Brindled Gnu (Connochaetes taurinus),1,Eutherian mammal
Brown Big-Eared Bat (Plecotus auritus),1,Eutherian mammal
Brown-Headed Spider Monkey (Ateles fusciceps),1,Eutherian mammal
Brown-Throated Sloth (Bradypus variegatus),1,Eutherian mammal
Brush Rabbit (Sylvilagus bachmani),1,Eutherian mammal
Bushy-Tailed Woodrat (Neotoma cinerea),1,Eutherian mammal
Cactus Mouse (Peromyscus eremicus),1,Eutherian mammal
California Mouse (Peromyscus californicus),1,Eutherian mammal
California Sea Lion (Zalophus californianus),1,Eutherian mammal
Campbell's Desert Hamster (Cricetiscus campbelli),1,Eutherian mammal
Cape Dune Mole-Rat (Bathyergus suillus),1,Eutherian mammal
Cape Elephant Shrew (Elephantulus edwardii),1,Eutherian mammal
Cape Mole-Rat (Georychus capensis),1,Eutherian mammal
Cape Rock Hyrax (Procavia capensis),1,Eutherian mammal
Capybara (Hydrochoerus hydrochaeris),1,Eutherian mammal
Cascade Golden-Mantled Ground Squirrel (Callospermophilus saturatus),1,Eutherian mammal
Cheesman's Gerbil (Gerbillus cheesmani),1,Eutherian mammal
Cheetah (Acinonyx jubatus),1,Eutherian mammal
Chinese Jumping Mouse (Eozapus setchuanus),1,Eutherian mammal
Cinereus Shrew (Sorex cinereus),1,Eutherian mammal
Coast Mole (Scapanus orarius),1,Eutherian mammal
Columbian Ground Squirrel (Urocitellus columbianus),1,Eutherian mammal
Commerson's Dolphin (Cephalorhynchus commersonii),1,Eutherian mammal
Common Bottlenose Dolphin (Tursiops truncatus),1,Eutherian mammal
Common Eland (Tragelaphus oryx),1,Eutherian mammal
Common Pipistrelle (Pipistrellus pipistrellus),1,Eutherian mammal
Common Vampire Bat (Desmodus rotundus),1,Eutherian mammal
Common Wallaroo (Osphranter robustus),1,Marsupial
Common Wombat (Vombatus ursinus),1,Marsupial
Coquerel's Sifaka (Propithecus coquereli),1,Eutherian mammal
Cowan's Shrew Tenrec (Microgale cowani),1,Eutherian mammal
Coyote (Canis latrans),1,Eutherian mammal
Crested Porcupine (Hystrix cristata),1,Eutherian mammal
Crowned Lemur (Eulemur coronatus),1,Eutherian mammal
Dama Gazelle (Nanger dama),1,Eutherian mammal
Damara Mole-Rat (Fukomys damarensis),1,Eutherian mammal
Daurian Pika (Ochotona dauurica),1,Eutherian mammal
Desert Cottontail (Sylvilagus audubonii),1,Eutherian mammal
Desert Hamster (Phodopus roborovskii),1,Eutherian mammal
Desert Hedgehog (Paraechinus aethiopicus),1,Eutherian mammal
Diademed Sifaka (Propithecus diadema),1,Eutherian mammal
Domestic Cat (Felis catus),1,Eutherian mammal
Donkey (Equus asinus),1,Eutherian mammal
Douglas Squirrel (Tamiasciurus douglasii),1,Eutherian mammal
Drouhard's Shrew Tenrec (Microgale drouhardi),1,Eutherian mammal
Eastern Chipmunk (Tamias striatus),1,Eutherian mammal
Eastern Cottontail (Sylvilagus floridanus),1,Eutherian mammal
Eastern Gray Kangaroo (Macropus giganteus),1,Marsupial
Eastern Mole (Scalopus aquaticus),1,Eutherian mammal
Eastern Rock Elephant Shrew (Elephantulus myurus),1,Eutherian mammal
Egyptian Rousette (Rousettus aegyptiacus),1,Eutherian mammal
Egyptian Spiny Mouse (Acomys cahirinus),1,Eutherian mammal
Ehrenberg's Mole-Rat (Nannospalax ehrenbergi),1,Eutherian mammal
Elk (Cervus canadensis),1,Eutherian mammal
Eurasian Field Mouse (Apodemus agrarius),1,Eutherian mammal
Eurasian Water Shrew (Neomys fodiens),1,Eutherian mammal
European Polecat (Mustela putorius),1,Eutherian mammal
European Woodmouse (Apodemus sylvaticus),1,Eutherian mammal
Even-Toothed Shrew (Sorex isodon),1,Eutherian mammal
Evening Bat (Nycticeius humeralis),1,Eutherian mammal
Fish-Eating Bat (Myotis vivesi),1,Eutherian mammal
